Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
1017,0.3333333333333333,0.6666666666666666,0.4444444444444444,0,1,6,3
1362,1.0,0.8571428571428571,0.9230769230769231,0,1,6,7
1698,0.25,0.5,0.3333333333333333,0,1,4,2
1925,1.0,1.0,1.0,1,1,1,1
2088,0.75,1.0,0.8571428571428571,0,1,4,3
2323,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
2578,1.0,1.0,1.0,1,1,5,5
2762,1.0,1.0,1.0,1,1,1,1
2777,1.0,1.0,1.0,1,1,1,1
2845,1.0,1.0,1.0,1,1,1,1
3361,0.3333333333333333,0.5,0.4,0,1,3,2
3367,0.5,0.5,0.5,0,1,2,2
3476,1.0,0.5,0.6666666666666666,0,1,1,2
3746,0.75,1.0,0.8571428571428571,0,1,4,3
3804,0.5,1.0,0.6666666666666666,0,1,2,1
4227,1.0,1.0,1.0,1,1,1,1
4309,1.0,1.0,1.0,1,1,1,1
4323,1.0,1.0,1.0,1,1,1,1
4328,1.0,0.6666666666666666,0.8,0,1,2,3
4341,1.0,1.0,1.0,1,1,1,1
4445,1.0,1.0,1.0,1,1,1,1
4747,1.0,1.0,1.0,1,1,1,1
4788,1.0,1.0,1.0,1,1,1,1
4991,0.3333333333333333,0.6666666666666666,0.4444444444444444,0,1,6,3
5077,0.125,0.16666666666666666,0.14285714285714285,0,0,8,6
5466,0.5,1.0,0.6666666666666666,0,1,2,1
5483,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
5500,0.4,1.0,0.5714285714285714,0,1,5,2
5560,0.5,0.3333333333333333,0.4,0,0,2,3
5690,1.0,1.0,1.0,1,1,1,1
5836,0.3333333333333333,1.0,0.5,0,1,3,1
5876,1.0,1.0,1.0,1,1,4,4
5957,0.3333333333333333,1.0,0.5,0,1,3,1
5978,0.6666666666666666,1.0,0.8,0,1,3,2
6090,1.0,1.0,1.0,1,1,1,1
6340,0.75,1.0,0.8571428571428571,0,1,4,3
6550,0.5,0.5,0.5,0,1,2,2
6561,1.0,1.0,1.0,1,1,1,1
6708,0.3333333333333333,1.0,0.5,0,1,3,1
6728,0.3333333333333333,1.0,0.5,0,1,3,1
6967,0.5,1.0,0.6666666666666666,0,1,2,1
7040,1.0,1.0,1.0,1,1,1,1
7125,1.0,0.4,0.5714285714285714,0,0,2,5
7143,1.0,1.0,1.0,1,1,1,1
7822,0.0,0.0,0.0,0,0,9,1
8020,1.0,1.0,1.0,1,1,2,2
8070,1.0,1.0,1.0,1,1,2,2
8108,0.0,0.0,0.0,0,0,1,6
8176,0.2,1.0,0.3333333333333333,0,1,5,1
8178,1.0,1.0,1.0,1,1,2,2
8545,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
8581,0.25,1.0,0.4,0,1,4,1
8708,1.0,1.0,1.0,1,1,1,1
8722,0.18181818181818182,1.0,0.3076923076923077,0,1,11,2
8741,1.0,1.0,1.0,1,1,1,1
8909,1.0,0.6666666666666666,0.8,0,1,2,3
8988,0.5,1.0,0.6666666666666666,0,1,2,1
9148,0.2,1.0,0.3333333333333333,0,1,5,1
9268,0.5,1.0,0.6666666666666666,0,1,2,1
9666,1.0,1.0,1.0,1,1,1,1
9801,0.3333333333333333,0.2,0.25,0,0,3,5
9806,0.6,0.75,0.6666666666666666,0,1,5,4
9964,1.0,1.0,1.0,1,1,1,1
9977,1.0,0.5,0.6666666666666666,0,1,1,2
10078,0.25,0.5,0.3333333333333333,0,1,4,2
10198,1.0,1.0,1.0,1,1,2,2
10202,1.0,1.0,1.0,1,1,1,1
10363,1.0,1.0,1.0,1,1,1,1
10426,1.0,1.0,1.0,1,1,1,1
10494,0.5,1.0,0.6666666666666666,0,1,2,1
10607,0.25,1.0,0.4,0,1,4,1
11031,0.14285714285714285,0.25,0.18181818181818182,0,0,7,4
11047,1.0,0.75,0.8571428571428571,0,1,3,4
11095,1.0,1.0,1.0,1,1,1,1
11161,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,1,6,6
11193,1.0,1.0,1.0,1,1,2,2
11201,0.3333333333333333,1.0,0.5,0,1,3,1
11560,1.0,0.5,0.6666666666666666,0,1,1,2
12119,0.3333333333333333,1.0,0.5,0,1,3,1
12415,0.3,1.0,0.46153846153846156,0,1,10,3
13133,0.25,1.0,0.4,0,1,4,1
13305,1.0,0.3333333333333333,0.5,0,0,1,3
13398,0.6666666666666666,1.0,0.8,0,1,3,2
13758,0.5,1.0,0.6666666666666666,0,1,2,1
13802,0.3333333333333333,1.0,0.5,0,1,3,1
14207,1.0,1.0,1.0,1,1,1,1
14539,1.0,1.0,1.0,1,1,5,5
14559,1.0,0.5,0.6666666666666666,0,1,1,2
14629,0.25,1.0,0.4,0,1,4,1
14720,1.0,1.0,1.0,1,1,1,1
14915,1.0,1.0,1.0,1,1,1,1
15016,1.0,1.0,1.0,1,1,1,1
15240,0.6666666666666666,0.2857142857142857,0.4,0,0,3,7
15663,1.0,0.5,0.6666666666666666,0,1,1,2
